Nr;Name;Ist Jul17;Ist 15;Ist 16;Bud 17;Plan 18;Plan 19;Plan 20;Plan 21;Plan 22
10698;Dübendorf;-1670094;-2543697;-1891070;-995292;-989555;-871543;-743006;-793300;-693376
10254;Châtelaine;-1079990;1472433;292959;-331028;1630786;1867593;497349;561226;554619
10320;Lausanne;-1020184;76590;-1454533;-235287;-490571;-496645;-359558;-364233;-262269
10500;Solothurn;-988887;-1178225;-1438109;-1120961;-944672;-994749;-1014721;-1039026;-1023312
10620;Winterthur;-807407;-1389496;-277113;-189889;-152929;-212718;-34092;-32769;-34455
10676;Schlieren;-803478;-1375083;-1070587;-1050477;-267413;-267413;-267413;-267413;-267413
10650;Utoquai;-783282;-2614424;-2117847;-991511;-880403;-747526;-750133;-646583;-577425
10540;Baden;-639362;;-139499;-745766;-481533;-76195;127517;373343;482272
